latitude,longitude,value
8.5149093,76.9435879,38.0
10.073232,76.302765,15.0
10.942451,76.978996,32.0
12.3511441,76.6249171,38.0
12.733409,77.298051,37.0
12.917348,77.622813,105.0
12.920984,77.584908,78.0
12.938539,77.5901,50.0
12.951913,77.539784,66.0
12.9756843,77.5660749,104.0
12.990328,77.5431385,61.0
13.029152,77.585901,58.0
13.1662,80.2584,133.0
13.428828,77.731418,38.0
13.67,79.35,42.0
16.507014,80.627767,46.0
16.5150833,80.5181667,53.0
16.7602,77.1428,22.0
16.9872867,81.7363176,89.0
17.320057,76.820889,51.0
17.349694,78.451437,83.0
17.4342359,78.4170318,53.0
17.460103,78.334361,82.0
17.5316895,78.218939,29.0
17.540891,78.358528,91.0
17.72,83.3,155.0
18.5011743,73.8165527,128.0
18.91,72.82,37.0
18.9936162,72.8128113,81.0
19.008751,73.01662,155.0
19.041847,72.865513,63.0
19.047,72.8746,75.0
19.0863,72.8888,103.0
19.10078,72.87462,97.0
19.10861,72.83622,95.0
19.1135051,73.008978,116.0
19.1375,72.915056,136.0
19.1494,72.9986,41.0
19.192056,72.9585188,94.0
19.2243333,72.8658113,42.0
19.25292,73.142019,203.0
19.3832,72.8204,318.0
19.645324,77.6345232,122.0
19.8389439,75.244448,74.0
19.9775302,79.2337086,34.0
20.0073285,73.7762427,87.0
20.362421,72.918013,117.0
20.9360711,85.1707021,50.0
21.152875,79.0517531,66.0
21.613267,73.010555,46.0
21.8004996,83.8396977,58.0
22.06047,88.109737,104.0
22.49929,88.36917,232.0
22.51106,88.35142,425.0
22.5448082,88.3403691,156.0
22.55664,88.342674,214.0
22.5687319,88.2797276,204.0
22.611968,88.347422,433.0
22.624758,75.675238,49.0
22.629801,88.352017,230.0
22.719444,75.870278,65.0
22.9682591,76.064118,33.0
22.969611,72.6435,87.0
23.002657,72.591912,130.0
23.10844,77.511428,67.0
23.168606,79.932247,152.0
23.182719,75.768218,85.0
23.221714,72.654328,69.0
23.233584,77.400574,138.0
23.331731,75.045981,139.0
23.685297,86.945968,174.0
23.707909,86.41467,97.0
23.833778,80.391222,168.0
24.10897,82.64558,208.0
24.2613009,80.7231783,98.0
24.58434363,80.8549414,200.0
24.5886166,73.6321397,270.0
25.14389,75.821256,286.0
25.3505986,82.9083074,278.0
25.771061,73.340227,225.0
26.1445,91.7362,208.0
26.268249,73.0193853,283.0
26.470859,74.646594,202.0
26.6883049,88.412668,162.0
26.902909,75.836858,440.0
26.9164092,75.7994901,334.0
26.9502929,75.730943,471.0
27.554793,76.611536,116.0
27.9002,76.9938,190.0
28.060249,76.113115,213.0
28.194909,76.862296,284.0
28.2068,76.7997,300.0
28.3419248,77.319699,243.0
28.360699,76.93609,358.0
28.406963,77.849831,323.0
28.422681,77.148944,298.0
28.4706914,77.1099364,443.0
28.47272,77.482,342.0
28.498571,77.26484,426.0
28.530785,77.271255,478.0
28.531346,77.190156,280.0
28.5447608,77.3231257,460.0
28.5504249,77.2159377,420.0
28.5512005,77.2735737,426.0
28.557054,77.453663,444.0
28.5627763,77.1180053,466.0
28.563262,77.186937,524.0
28.56789,77.250515,533.0
28.56923,77.393848,424.0
28.570173,76.933762,239.0
28.5710274,77.0719006,445.0
28.58028,77.233829,479.0
28.5898,77.3101,457.0
28.5918245,77.2273074,362.0
28.611281,77.237738,393.0
28.623763,77.287209,557.0
28.6245479,77.3577104,705.0
28.6316945,77.2494387,388.0
28.636429,77.201067,459.0
28.639645,77.146263,490.0
28.646233,77.358075,728.0
28.646835,77.316032,632.0
28.6573814,77.1585447,741.0
28.6603346,77.3572563,992.0
28.6701,76.9254,169.0
28.672342,77.31526,460.0
28.674045,77.131023,367.0
28.684678,77.076574,322.0
28.685382,77.453839,874.0
28.695381,77.181665,404.0
28.699793,77.165453,434.0
28.710508,77.249485,544.0
28.725645,77.749675,385.0
28.7256504,77.2011573,531.0
28.732528,77.11992,465.0
28.73282,77.170633,486.0
28.7500499,77.1112615,337.0
28.757294,77.278792,592.0
28.7762,77.051074,328.0
28.806223,76.141105,244.0
28.815329,77.15301,289.0
28.822836,77.101981,292.0
28.825341,78.7213009,471.0
28.9535882,77.7622941,349.0
28.974801,77.213357,285.0
28.999264,77.7590354,288.0
29.0272,77.0669191,160.0
29.06351,77.709723,266.0
29.14056,75.744941,578.0
29.307814,76.337619,295.0
29.4723508,77.7194031,400.0
29.497973,76.993331,430.0
29.5364,75.0158,462.0
29.6953,77.0027,348.0
29.8006,76.4155,378.0
30.1480566,77.2893471,471.0
30.349388,76.366642,391.0
30.649961,76.331442,237.0
30.736056,76.209694,277.0
30.751462,76.762879,233.0
30.9028,75.8086,341.0
31.0325454,76.5623046,71.0
31.321907,75.578914,309.0
31.62,74.876512,369.0
