latitude,longitude,value
8.5149093,76.9435879,68.0
8.5637,76.8865,87.0
8.816428,78.099039,62.0
8.8787,76.6073,71.0
9.969447,76.321186,75.0
9.985653,76.281342,72.0
10.073232,76.302765,36.0
10.5324,76.2159,88.0
10.942451,76.978996,37.0
11.249077,75.784371,74.0
11.55358,76.55521,23.0
11.875,75.3732,70.0
12.21041,76.37376,46.0
12.415911,75.73505,53.0
12.733409,77.298051,61.0
12.917348,77.622813,49.0
12.920984,77.584908,72.0
12.938539,77.5901,50.0
12.951913,77.539784,84.0
12.9756843,77.5660749,140.0
12.990328,77.5431385,32.0
13.029152,77.585901,63.0
13.0664,80.2112,50.0
13.1036,80.2909,83.0
13.1278,80.2642,82.0
13.1662,80.2584,65.0
13.328028,75.797056,67.0
13.428828,77.731418,39.0
13.67,79.35,63.0
13.94,75.555917,64.0
15.351773,75.140726,134.0
16.172806,75.659694,66.0
16.5150833,80.5181667,73.0
16.7602,77.1428,88.0
16.802639,75.722694,79.0
16.9872867,81.7363176,88.0
17.321993,76.822628,142.0
17.349694,78.451437,151.0
17.460103,78.334361,127.0
17.5184,78.278777,138.0
17.5316895,78.218939,136.0
17.540891,78.358528,119.0
17.6599188,75.9063906,44.0
17.72,83.3,96.0
18.530085,73.849598,121.0
18.57304,73.927715,98.0
18.640051,73.848956,112.0
18.664282,73.763966,73.0
18.897756,72.81332,158.0
18.91,72.82,126.0
18.96702,72.84214,178.0
18.9936162,72.8128113,143.0
19.008751,73.01662,193.0
19.044,73.0325,96.0
19.047,72.8746,158.0
19.04946,72.923,133.0
19.053536,72.84643,228.0
19.0863,72.8888,180.0
19.10078,72.87462,172.0
19.10861,72.83622,185.0
19.1135051,73.008978,219.0
19.13276,72.52048,177.0
19.1375,72.915056,144.0
19.192056,72.9585188,247.0
19.19709,72.82204,103.0
19.23241,72.86895,104.0
19.25292,73.142019,246.0
19.645324,77.6345232,150.0
19.8389439,75.244448,90.0
19.9775302,79.2337086,141.0
20.0073285,73.7762427,106.0
20.362421,72.918013,140.0
20.9360711,85.1707021,104.0
21.152875,79.0517531,123.0
21.613267,73.010555,217.0
21.8004996,83.8396977,119.0
22.410802,73.097923,51.0
22.431,75.5213,209.0
22.49929,88.36917,136.0
22.51106,88.35142,127.0
22.5367507,88.3638022,135.0
22.5448082,88.3403691,124.0
22.55664,88.342674,141.0
22.5687319,88.2797276,190.0
22.58157048,88.41002457,96.0
22.611968,88.347422,179.0
22.624758,75.675238,164.0
22.629801,88.352017,209.0
22.9682591,76.064118,136.0
22.969611,72.6435,192.0
23.002657,72.591912,175.0
23.10844,77.511428,121.0
23.168606,79.932247,209.0
23.182719,75.768218,180.0
23.221714,72.654328,103.0
23.233584,77.400574,249.0
23.331731,75.045981,226.0
23.50016,80.23284,257.0
23.685297,86.945968,117.0
23.707909,86.41467,50.0
