latitude,longitude,value
8.5149093,76.9435879,26.0
8.5637,76.8865,50.0
8.816428,78.099039,25.0
8.8787,76.6073,64.0
9.969447,76.321186,40.0
9.985653,76.281342,40.0
10.073232,76.302765,32.0
10.5324,76.2159,29.0
10.942451,76.978996,39.0
11.249077,75.784371,52.0
11.55358,76.55521,45.0
11.875,75.3732,47.0
11.9309,79.8027,31.0
12.21041,76.37376,39.0
12.415911,75.73505,25.0
12.733409,77.298051,36.0
12.88925,74.853,74.0
12.9099161,80.1076538,48.0
12.9135218,77.5950804,51.0
12.917348,77.622813,57.0
12.920984,77.584908,56.0
12.9352049,77.6814488,52.0
12.938539,77.5901,53.0
12.951913,77.539784,51.0
12.9533,80.2357,56.0
12.9756843,77.5660749,41.0
12.990328,77.5431385,54.0
13.0052189,80.2398125,59.0
13.008556,76.125258,57.0
13.0270199,77.494094,48.0
13.029152,77.585901,55.0
13.0664,80.2112,48.0
13.1036,80.2909,50.0
13.1276288,78.1570122,87.0
13.1278,80.2642,46.0
13.164544,80.26285,48.0
13.1662,80.2584,40.0
13.328028,75.797056,36.0
13.34194444,74.74694444,102.0
13.4127,80.1081,48.0
13.428828,77.731418,55.0
13.67,79.35,27.0
13.94,75.555917,43.0
14.4758,75.9052,44.0
15.34763,76.181767,29.0
15.351773,75.140726,64.0
15.411456,75.638133,13.0
16.172806,75.659694,38.0
16.208139,77.348417,88.0
16.5150833,80.5181667,39.0
16.7602,77.1428,68.0
16.802639,75.722694,46.0
16.9872867,81.7363176,52.0
17.321993,76.822628,127.0
17.349694,78.451437,130.0
17.460103,78.334361,97.0
17.5184,78.278777,109.0
17.5316895,78.218939,120.0
17.540891,78.358528,100.0
17.72,83.3,62.0
17.930306,77.482194,110.0
18.5011743,73.8165527,96.0
18.501793,73.927532,122.0
18.517754,73.8214883,104.0
18.530085,73.849598,113.0
18.640051,73.848956,114.0
18.897756,72.81332,209.0
18.91,72.82,226.0
18.96702,72.84214,245.0
18.9936162,72.8128113,181.0
19.000083,72.813993,229.0
19.008751,73.01662,170.0
19.044,73.0325,136.0
19.047,72.8746,220.0
19.04946,72.923,206.0
19.053536,72.84643,204.0
19.0627,72.84614,209.0
19.0863,72.8888,224.0
19.10078,72.87462,210.0
19.10861,72.83622,219.0
19.11074,72.86084,242.0
19.1135051,73.008978,160.0
19.13276,72.52048,217.0
19.1375,72.915056,191.0
19.1653323,72.922099,127.0
19.175,72.9419,242.0
19.192056,72.9585188,259.0
19.2058,72.8682,216.0
19.23241,72.86895,253.0
19.25292,73.142019,194.0
19.3832,72.8204,198.0
19.645324,77.6345232,107.0
19.8389439,75.244448,102.0
19.9775302,79.2337086,132.0
20.0073285,73.7762427,99.0
20.362421,72.918013,189.0
20.9360711,85.1707021,84.0
21.152875,79.0517531,164.0
21.613267,73.010555,204.0
21.8004996,83.8396977,64.0
22.06047,88.109737,109.0
22.08815,82.13737,119.0
22.410802,73.097923,46.0
22.431,75.5213,175.0
22.49929,88.36917,133.0
22.51106,88.35142,123.0
22.5367507,88.3638022,128.0
22.5448082,88.3403691,122.0
22.55664,88.342674,116.0
22.5687319,88.2797276,144.0
22.58157048,88.41002457,123.0
22.611968,88.347422,144.0
22.624758,75.675238,96.0
22.629801,88.352017,129.0
22.9682591,76.064118,91.0
22.969611,72.6435,94.0
22.977134,72.553024,209.0
23.002657,72.591912,262.0
23.016834,72.625775,206.0
23.023389,72.515201,247.0
23.041137,72.456691,216.0
23.04307,72.562968,213.0
23.076793,72.627874,172.0
23.107969,72.574648,204.0
23.10844,77.511428,246.0
23.163798,72.677768,132.0
23.168606,79.932247,186.0
23.182719,75.768218,156.0
23.221714,72.654328,109.0
23.233584,77.400574,193.0
23.243639,72.68994,106.0
23.331731,75.045981,161.0
23.50016,80.23284,263.0
23.5404352,87.2892225,259.0
23.685297,86.945968,139.0
23.7176342,92.7192841,30.0
23.81748678,79.446246,43.0
23.8628276,91.2887362,106.0
24.10897,82.64558,254.0
24.58434363,80.8549414,76.0
24.5886166,73.6321397,135.0
24.762518,84.982348,65.0
25.14389,75.821256,152.0
25.262326,82.995408,112.0
25.301778,82.996789,117.0
25.32393,82.99687,120.0
25.3505986,82.9083074,118.0
25.425602,81.917152,140.0
25.44919916,81.82735986,148.0
25.494,81.863,142.0
25.5586,91.8985,9.0
25.586562,85.043586,186.0
25.592539,85.227158,195.0
25.596727,85.085624,188.0
25.599486,85.113666,187.0
25.619651,85.147382,198.0
25.6635413,94.0989878,57.0
25.697189,85.2459,161.0
25.771061,73.340227,109.0
26.11442,85.39813,183.0
26.181742,91.78063,114.0
26.1875,91.744194,92.0
26.203442,78.193251,134.0
26.210536,78.171,129.0
26.268249,73.0193853,207.0
26.428282,80.327067,202.0
26.4703136,80.3229863,263.0
26.470859,74.646594,102.0
26.509954,80.249612,202.0
26.6883049,88.412668,100.0
26.730136,83.433859,171.0
26.766433,80.927299,217.0
26.83399722,80.8917361,242.0
26.8458805,80.9365541,224.0
26.86812,81.005119,215.0
26.8821003,80.9302753,209.0
26.902909,75.836858,166.0
26.90723,80.98579,200.0
26.9164092,75.7994901,174.0
26.9502929,75.730943,176.0
27.103358,93.679645,49.0
27.168897,78.37696,181.0
27.169338,78.03582,284.0
27.19412,77.96237,291.0
27.19862,77.92066,274.0
27.19865833,78.00598056,287.0
27.23711,78.01936,261.0
27.554793,76.611536,95.0
27.571409,77.655757,242.0
27.9002,76.9938,124.0
28.060249,76.113115,132.0
28.194909,76.862296,288.0
28.2068,76.7997,156.0
28.3419248,77.319699,249.0
28.360699,76.93609,209.0
28.376058,77.315741,348.0
28.39072,77.30059,337.0
28.406963,77.849831,314.0
28.422681,77.148944,240.0
28.4227,77.0667,279.0
28.4275,77.1465,241.0
28.4417,77.3217,315.0
28.4706914,77.1099364,292.0
28.47272,77.482,271.0
28.498571,77.26484,291.0
28.530785,77.271255,304.0
28.531346,77.190156,282.0
28.5447608,77.3231257,316.0
28.5504249,77.2159377,274.0
28.5512005,77.2735737,300.0
28.557054,77.453663,348.0
28.5627763,77.1180053,341.0
28.563262,77.186937,274.0
28.56789,77.250515,305.0
28.56923,77.393848,330.0
28.570173,76.933762,312.0
28.5710274,77.0719006,342.0
28.58028,77.233829,301.0
28.588333,77.221667,296.0
28.5898,77.3101,308.0
28.5918245,77.2273074,285.0
28.593883,76.270653,208.0
28.60909,77.0325413,286.0
28.611281,77.237738,293.0
28.623763,77.287209,333.0
28.6245479,77.3577104,320.0
28.636429,77.201067,282.0
28.639645,77.146263,317.0
28.646233,77.358075,359.0
28.647622,77.315809,303.0
28.6514781,77.1473105,291.0
28.656756,77.227234,294.0
28.6573814,77.1585447,330.0
28.6603346,77.3572563,343.0
28.6701,76.9254,244.0
28.672342,77.31526,293.0
28.674045,77.131023,290.0
28.6811736,77.3025234,289.0
28.684678,77.076574,300.0
28.685382,77.453839,351.0
28.695381,77.181665,300.0
28.699793,77.165453,311.0
28.710508,77.249485,286.0
28.725645,77.749675,281.0
28.7256504,77.2011573,276.0
28.732528,77.11992,305.0
28.73282,77.170633,321.0
28.7500499,77.1112615,295.0
28.757294,77.278792,424.0
28.7762,77.051074,304.0
28.806223,76.141105,198.0
28.815329,77.15301,296.0
28.822836,77.101981,300.0
28.825341,78.7213009,264.0
28.9535882,77.7622941,260.0
28.974801,77.213357,296.0
28.999264,77.7590354,297.0
29.0272,77.0621,276.0
29.06351,77.709723,290.0
29.14056,75.744941,244.0
29.307814,76.337619,229.0
