latitude,longitude,value
8.5149093,76.9435879,36.0
8.5637,76.8865,57.0
8.816428,78.099039,58.0
8.8787,76.6073,59.0
9.969447,76.321186,32.0
9.985653,76.281342,18.0
10.073232,76.302765,24.0
10.942451,76.978996,44.0
11.249077,75.784371,49.0
11.55358,76.55521,48.0
11.9309,79.8027,111.0
12.21041,76.37376,44.0
12.415911,75.73505,13.0
12.733409,77.298051,33.0
12.88925,74.853,93.0
12.9099161,80.1076538,164.0
12.9135218,77.5950804,47.0
12.917348,77.622813,48.0
12.920984,77.584908,55.0
12.9352049,77.6814488,52.0
12.938539,77.5901,47.0
12.951913,77.539784,62.0
12.9533,80.2357,107.0
12.9756843,77.5660749,53.0
12.990328,77.5431385,50.0
13.0052189,80.2398125,202.0
13.008556,76.125258,40.0
13.0270199,77.494094,54.0
13.029152,77.585901,51.0
13.0664,80.2112,105.0
13.1036,80.2909,96.0
13.1276288,78.1570122,29.0
13.1278,80.2642,103.0
13.164544,80.26285,200.0
13.1662,80.2584,147.0
13.328028,75.797056,35.0
13.34194444,74.74694444,57.0
13.428828,77.731418,51.0
13.67,79.35,21.0
13.94,75.555917,45.0
14.4758,75.9052,22.0
15.34763,76.181767,13.0
15.351773,75.140726,81.0
15.411456,75.638133,14.0
16.172806,75.659694,45.0
16.208139,77.348417,70.0
16.5150833,80.5181667,39.0
16.7602,77.1428,29.0
16.802639,75.722694,55.0
16.9872867,81.7363176,75.0
17.321993,76.822628,107.0
17.349694,78.451437,86.0
17.460103,78.334361,49.0
17.5184,78.278777,81.0
17.5316895,78.218939,72.0
17.72,83.3,91.0
17.930306,77.482194,342.0
18.5011743,73.8165527,83.0
18.517754,73.8214883,82.0
18.530085,73.849598,65.0
18.640051,73.848956,87.0
18.897756,72.81332,207.0
18.91,72.82,127.0
18.96702,72.84214,209.0
18.9936162,72.8128113,174.0
19.000083,72.813993,108.0
19.008751,73.01662,174.0
19.044,73.0325,162.0
19.047,72.8746,175.0
19.04946,72.923,180.0
19.053536,72.84643,310.0
19.0627,72.84614,104.0
19.0863,72.8888,246.0
19.10078,72.87462,251.0
19.10861,72.83622,257.0
19.11074,72.86084,197.0
19.1135051,73.008978,163.0
19.13276,72.52048,101.0
19.1375,72.915056,164.0
19.175,72.9419,318.0
19.192056,72.9585188,279.0
19.2058,72.8682,138.0
19.23241,72.86895,186.0
19.25292,73.142019,298.0
19.3832,72.8204,253.0
19.645324,77.6345232,142.0
19.8389439,75.244448,165.0
19.9775302,79.2337086,65.0
20.0073285,73.7762427,146.0
20.362421,72.918013,200.0
20.9360711,85.1707021,128.0
21.8004996,83.8396977,59.0
22.06047,88.109737,183.0
22.08815,82.13737,132.0
