latitude,longitude,value
8.5149093,76.9435879,25.0
10.073232,76.302765,24.0
10.942451,76.978996,25.0
12.3511441,76.6249171,29.0
12.733409,77.298051,33.0
12.917348,77.622813,55.0
12.920984,77.584908,30.0
12.938539,77.5901,23.0
12.951913,77.539784,44.0
12.9756843,77.5660749,71.0
12.990328,77.5431385,48.0
13.029152,77.585901,22.0
13.1662,80.2584,61.0
13.428828,77.731418,33.0
13.67,79.35,27.0
15.351773,75.140726,49.0
16.507014,80.627767,43.0
16.5150833,80.5181667,24.0
16.7602,77.1428,25.0
16.9872867,81.7363176,27.0
17.320057,76.820889,35.0
17.349694,78.451437,63.0
17.4342359,78.4170318,45.0
17.460103,78.334361,44.0
17.5316895,78.218939,49.0
17.540891,78.358528,69.0
17.72,83.3,50.0
18.5011743,73.8165527,92.0
18.91,72.82,53.0
18.9936162,72.8128113,57.0
19.008751,73.01662,89.0
19.041847,72.865513,59.0
19.047,72.8746,68.0
19.0863,72.8888,60.0
19.10078,72.87462,68.0
19.10861,72.83622,68.0
19.1135051,73.008978,74.0
19.1375,72.915056,64.0
19.1494,72.9986,54.0
19.192056,72.9585188,26.0
19.2243333,72.8658113,47.0
19.25292,73.142019,75.0
19.3832,72.8204,56.0
19.645324,77.6345232,42.0
19.8389439,75.244448,60.0
19.9775302,79.2337086,39.0
20.0073285,73.7762427,30.0
20.362421,72.918013,85.0
20.9360711,85.1707021,45.0
21.152875,79.0517531,53.0
21.613267,73.010555,100.0
21.8004996,83.8396977,64.0
22.06047,88.109737,45.0
22.49929,88.36917,87.0
22.51106,88.35142,96.0
22.5448082,88.3403691,119.0
22.55664,88.342674,95.0
22.5687319,88.2797276,56.0
22.611968,88.347422,151.0
22.624758,75.675238,112.0
22.629801,88.352017,135.0
22.719444,75.870278,108.0
22.9682591,76.064118,117.0
22.969611,72.6435,139.0
23.002657,72.591912,115.0
23.10844,77.511428,136.0
23.168606,79.932247,108.0
23.182719,75.768218,106.0
23.221714,72.654328,98.0
23.233584,77.400574,154.0
23.331731,75.045981,148.0
23.685297,86.945968,61.0
23.707909,86.41467,97.0
23.81748678,79.446246,142.0
23.833778,80.391222,134.0
24.10897,82.64558,183.0
24.2613009,80.7231783,63.0
24.58434363,80.8549414,131.0
24.5886166,73.6321397,161.0
25.14389,75.821256,107.0
25.3505986,82.9083074,166.0
25.5586,91.8985,37.0
25.771061,73.340227,109.0
26.1445,91.7362,76.0
26.268249,73.0193853,211.0
26.470859,74.646594,115.0
26.6883049,88.412668,99.0
26.902909,75.836858,145.0
26.9164092,75.7994901,143.0
26.9502929,75.730943,144.0
27.554793,76.611536,86.0
27.9002,76.9938,150.0
28.060249,76.113115,200.0
28.194909,76.862296,297.0
28.2068,76.7997,286.0
28.3419248,77.319699,229.0
28.360699,76.93609,225.0
28.406963,77.849831,228.0
28.422681,77.148944,223.0
28.4706914,77.1099364,263.0
28.47272,77.482,253.0
28.498571,77.26484,286.0
28.530785,77.271255,289.0
28.531346,77.190156,273.0
28.5447608,77.3231257,284.0
28.5504249,77.2159377,263.0
28.5512005,77.2735737,265.0
28.557054,77.453663,310.0
28.5627763,77.1180053,300.0
28.563262,77.186937,278.0
28.56789,77.250515,295.0
28.56923,77.393848,245.0
28.570173,76.933762,264.0
28.5710274,77.0719006,276.0
28.58028,77.233829,281.0
28.5898,77.3101,259.0
28.5918245,77.2273074,277.0
28.611281,77.237738,283.0
28.623763,77.287209,281.0
28.6245479,77.3577104,280.0
28.6316945,77.2494387,298.0
28.636429,77.201067,265.0
28.639645,77.146263,266.0
28.646233,77.358075,264.0
28.646835,77.316032,282.0
28.6573814,77.1585447,283.0
28.6603346,77.3572563,310.0
28.6701,76.9254,165.0
28.672342,77.31526,274.0
28.674045,77.131023,298.0
28.684678,77.076574,277.0
28.685382,77.453839,271.0
28.695381,77.181665,282.0
28.699793,77.165453,285.0
28.710508,77.249485,272.0
28.725645,77.749675,240.0
28.7256504,77.2011573,274.0
28.732528,77.11992,284.0
28.73282,77.170633,281.0
28.7500499,77.1112615,279.0
28.757294,77.278792,365.0
28.7762,77.051074,278.0
28.806223,76.141105,159.0
28.815329,77.15301,280.0
28.822836,77.101981,258.0
28.825341,78.7213009,221.0
28.9535882,77.7622941,230.0
28.974801,77.213357,224.0
28.999264,77.7590354,236.0
29.0272,77.0669191,147.0
29.06351,77.709723,233.0
29.14056,75.744941,221.0
29.307814,76.337619,190.0
29.4723508,77.7194031,234.0
29.497973,76.993331,269.0
29.5364,75.0158,256.0
29.6953,77.0027,241.0
29.8006,76.4155,247.0
30.1480566,77.2893471,276.0
30.349388,76.366642,173.0
30.649961,76.331442,151.0
30.736056,76.209694,184.0
30.751462,76.762879,131.0
30.9028,75.8086,157.0
31.0325454,76.5623046,101.0
31.321907,75.578914,145.0
31.62,74.876512,147.0
